i_I,i_Q,beta_iq,beta_ir,beta_qr,gamma_2,beta_bd
0.353498288,0.297193624,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.363640721,0.116630809,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.062131415,0.731055647,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.345711891,0.969535935,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.971200187,0.662815014,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.972681463,0.824985133,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.985305957,0.951456792,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.217710582,0.585118797,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.154903791,0.668314735,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.351571284,0.36267599,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.001652464,0.911909815,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.575632885,0.010997674,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.193837781,0.689525766,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.415601299,0.593018045,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.505639797,0.725277377,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.96453663,0.019432023,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.791012877,0.298112584,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.632721486,0.687731258,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.789402274,0.684904395,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.80007365,0.907398465,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.935202271,0.357906151,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.899051162,0.363104596,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.999943228,0.165826693,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.999961867,0.001144963,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.197326353,0.181467945,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.188315563,0.194690816,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
