,S,E,I,Q,R,N
0,1154633644,288658411,1218,776,34,1443497378
1,1154633644,288658313,1315,776,34,1443497378
2,1154633644,288657826,1803,776,34,1443497378
3,1154633645,288655389,4239,776,34,1443497378
4,1154633648,288643207,16418,776,34,1443497378
5,1154633661,288582303,77303,776,40,1443497378
6,1154633724,288277981,381433,775,170,1443497379
7,1154634208,287663494,993092,772,2517,1443497383
8,1154634868,286540470,2106511,782,11453,1443497389
9,1154635942,284679637,3937466,834,40206,1443497398
10,1154637586,281867445,6670852,992,117210,1443497412
11,1154639950,277873700,10482823,1376,296230,1443497432
12,1154642517,272331324,15689778,2099,628335,1443497454
13,1154644503,264003859,23482150,3272,1160217,1443497471
14,1154646733,253151806,33475574,5127,2014655,1443497490
15,1154650760,242738022,42507197,7950,3389727,1443497525
16,1154655663,230770051,52392849,11994,5462633,1443497567
17,1154660327,214680941,65494511,17594,8439034,1443497607
18,1154664858,194182102,81787285,25180,12631724,1443497646
19,1154670296,171030038,99036440,35147,18517149,1443497693
20,1154683286,158675731,102903401,46227,26976040,1443497804
21,1154692608,144683179,108853664,55778,34994846,1443497884
22,1154681551,144675894,108553111,55901,35313326,1443497893
23,1154650843,151773386,103296701,52798,33506699,1443497901
24,1105636100,181670731,65420074,58030,90435672,1443499230
25,1085615961,178956795,64195872,59031,114367089,1443499623
26,1140583719,182343498,65908786,58088,54365805,1443498280
27,1133472846,188689468,60588939,57312,60444315,1443498391
28,1015718531,168527029,59035257,56401,199762582,1443501115
29,1113280974,197849397,53547595,54163,78499549,1443498733
30,1106540482,198481387,52935212,52664,85213941,1443498897
31,1092249282,199954177,50568641,49883,100383886,1443499238
32,1006335029,178820110,50341342,48239,207542927,1443501279
33,921654080,153297781,46603880,44996,321360728,1443503499
34,895341165,143565893,45167055,43657,358801955,1443504127
35,859215273,130878741,41523457,40211,411203243,1443505301
36,845111829,127431968,38693309,37532,431563223,1443506108
37,843713631,128901939,37182256,36007,433001968,1443506318
38,786319557,97471218,34488545,33697,524421172,1443507738
39,758107940,84412086,29856037,29220,570277259,1443509191
40,789816396,109406501,27979900,27159,515513499,1443509800
41,814272425,127198077,26611577,25695,474681828,1443510900
42,811142732,127648221,24909221,24000,479059916,1443511025
43,806933971,126197018,24070860,23197,485551991,1443511538
44,748958570,89041768,21919663,21301,582728522,1443513555
45,711857920,62088131,19904056,19527,648725115,1443513034
46,719826658,71220637,18071504,17621,633476506,1443514877
47,709919502,65214182,16375543,15930,651068884,1443516281
48,689198742,48096939,15673543,15410,689564863,1443515071
49,678422069,40344113,14121877,13926,709624888,1443515483
50,671527250,36233940,12249012,12067,722491158,1443517104
51,665977094,32580977,10925901,10779,733007498,1443518161
52,672288095,39310338,10092778,9873,720817603,1443521142
53,663221049,31515766,9476823,9315,738274840,1443520084
54,659085278,28844088,8176764,8012,746376204,1443522102
55,660665190,30602592,7851971,7681,743367986,1443523823
56,663177790,33607189,6916090,6715,738797776,1443528876
57,661580780,32293949,6640370,6458,741980872,1443529374
58,657461238,28830916,5961505,5805,750234773,1443530594
59,659582130,30831667,5515007,5344,746567581,1443533925
60,654323800,26136737,5437554,5294,756584410,1443531406
61,648951173,21374888,4831573,4718,767312635,1443530883
62,648947979,21352217,4630238,4513,767540948,1443532041
63,646039955,18746526,4137671,4039,773541640,1443532828
64,645150622,17886271,3830822,3737,775597693,1443534442
65,646662875,18950823,3496799,3393,773362819,1443539271
66,644395642,16891522,3266793,3174,777914203,1443539091
67,646890730,18885972,3253899,3155,773445480,1443541791
68,644827777,16810269,2923234,2833,777911303,1443543004
69,643879941,15912915,2814210,2729,779863516,1443543117
70,645559450,17274677,2856284,2767,776785204,1443544612
71,644233134,15780421,2587008,2504,779873492,1443546225
