,S,E,I,Q,R,N
0,1154633644.0,288658411.0,1218.0,776.0,34.0,1443497378.0
1,1154633644.0,288658313.0,1315.0,776.0,34.0,1443497378.0
2,1154633644.0,288657826.0,1803.0,776.0,34.0,1443497378.0
3,1154633645.0,288655389.0,4239.0,776.0,34.0,1443497378.0
4,1154633652.0,288643203.0,16417.0,776.0,35.0,1443497378.0
5,1154633667.0,288582297.0,77297.0,776.0,47.0,1443497378.0
6,1154633735.0,288277969.0,381333.0,775.0,270.0,1443497379.0
7,1154633875.0,287591300.0,1066430.0,774.0,1705.0,1443497380.0
8,1154634149.0,286277356.0,2373640.0,773.0,8167.0,1443497382.0
9,1154634631.0,284076527.0,4551583.0,773.0,30574.0,1443497386.0
10,1154635398.0,280722191.0,7841843.0,777.0,93885.0,1443497393.0
11,1154637352.0,277299768.0,11074194.0,791.0,281998.0,1443497410.0
12,1154639269.0,271535881.0,16476638.0,833.0,641492.0,1443497426.0
13,1154642144.0,264597354.0,22703568.0,923.0,1350140.0,1443497451.0
14,1154645703.0,255639644.0,30406287.0,1092.0,2601419.0,1443497481.0
15,1154650316.0,244886718.0,39052575.0,1378.0,4703173.0,1443497520.0
16,1154654682.0,229655214.0,51056270.0,1830.0,7926170.0,1443497558.0
17,1154660476.0,212589763.0,63185975.0,2503.0,12855440.0,1443497607.0
18,1154670137.0,197848549.0,70542648.0,3436.0,20229351.0,1443497690.0
19,1154670378.0,163643279.0,96214232.0,4653.0,28761497.0,1443497692.0
20,1154681717.0,143784087.0,102559014.0,6256.0,42262796.0,1443497789.0
21,1154692952.0,116966348.0,111175280.0,8301.0,60450675.0,1443497884.0
22,1152620930.0,92547334.0,114127884.0,10603.0,83986257.0,1443498013.0
23,1146309202.0,80613833.0,107994584.0,12440.0,108362179.0,1443498174.0
24,1141747176.0,73917398.0,104998114.0,13363.0,122615669.0,1443498264.0
25,1133279810.0,60840633.0,100550114.0,14922.0,148605200.0,1443498391.0
26,1124757129.0,57349633.0,92869697.0,15486.0,168297742.0,1443498544.0
27,1123114799.0,50198539.0,94330363.0,16089.0,175629623.0,1443498534.0
28,1103340232.0,43268530.0,77416578.0,16248.0,219245191.0,1443498897.0
