,fit_data,real_data
0,776.0,776
1,778.9830359535,1218
2,781.6604600615415,1880
3,994.0525619221614,2630
4,1195.2471047663312,4369
5,2214.0895408246843,5762
6,3086.513368267016,7442
7,4857.101427110777,9336
8,9353.925933400204,11319
9,10886.1665222038,13779
10,11642.840572519426,16402
11,19344.087519691835,19416
12,18473.237346875398,22980
13,26560.327736781397,26343
14,22973.213533319617,29018
15,32564.283840599477,31819
16,32751.909796632423,33699
17,35438.114099788916,36032
18,37911.396899162624,37693
19,43500.16125158065,38874
20,50778.55370258432,51933
21,53704.37217083728,55823
22,58617.584044214535,56950
23,59435.64031604062,57493
24,60065.71873099342,58005
25,59305.29527793678,58097
26,57028.538053061035,57883
27,59072.98701072471,56812
28,57130.23461219822,55477
29,53348.09204641758,53372
30,52666.65744402548,51494
31,51386.20514666138,49910
32,48850.76450738616,47760
33,46124.18379479774,45697
34,44295.36011211006,43352
35,41550.675992413155,40011
36,37858.46331875533,37502
37,34506.26602501545,35420
38,32501.542971539275,32741
39,28718.3457785843,30096
40,28138.117137552297,27524
41,25006.119154228883,25441
42,23157.60780115042,23872
43,23468.11433476675,22263
44,20207.929809467783,20616
45,17867.696677691554,19097
46,17390.9891267113,17802
47,14514.836457290483,16226
48,14265.432435844346,14932
49,13432.734553039354,13607
50,12348.393794479938,12178
51,11091.482033763237,10822
52,9198.983233318808,9996
53,9087.965484540588,9086
54,8411.731634489766,8184
55,7347.832321849955,7438
56,6896.2964349244885,6763
57,6286.066069455019,6279
58,5508.516975626849,5849
59,5368.446029682366,5483
60,5175.225564548962,5165
61,4610.523162395807,4768
62,4293.93880474431,4471
63,4050.8225200591023,4043
64,3441.9153344295833,3790
65,3775.87314225418,3435
66,3152.4923615520174,3199
67,2916.8498959276244,3006
68,2889.0242631583737,2895
69,2703.6518960351505,2787
70,2670.0219239214994,2686
71,2563.70448672149,2556
72,2501.7981244364855,2537
73,2650.617120167164,2610
74,2523.541547789804,2676
75,2800.5730056991233,2760
76,2803.2061694007275,2850
77,2712.66334345901,2905
78,2949.4049736886614,2965
79,2936.92026614168,3078
80,2823.4507890917102,3066
81,2791.174237249434,3048
82,2801.1728872742633,2969
83,2466.1666538506715,2906
84,2197.1969424315603,1872
85,1955.9408520923348,1794
86,1826.489895893557,1734
87,1638.9115195238867,1700
88,1651.1345293775385,1630
89,1600.9221546225717,1603
90,1549.7942931330008,1513
91,1413.109859012895,1433
92,1296.8289134720449,1320
93,1293.3895061224325,1245
94,1122.0347681136948,1140
95,1064.5106018654976,1040
96,981.4431801026992,997
97,921.3984629703698,945
98,873.576830040807,897
99,838.246169534783,840
100,745.7275078848959,811
101,746.3985566056523,741
102,636.2668508503846,635
103,565.7415617178839,559
104,487.5643235302932,498
105,450.3253914471378,448
106,368.3780897980862,372
107,318.21952581901223,299
108,274.1395765872038,274
109,239.5299027981366,241
110,217.68150394097344,220
111,195.58974449930218,199
112,182.1836611033434,181
113,162.84953562889547,166
114,158.01047808940268,157
115,144.5397361926242,148
116,126.98625227752032,147
117,135.73442977340127,145
118,134.38580721090477,140
119,134.20332666878133,139
120,136.20484064427006,137
121,128.28926358412608,134
122,126.34225148187762,134
123,126.23698699256335,131
124,120.62940652509045,125
125,114.6329295644303,116
126,102.39527694688988,111
127,135.96516268942585,118
128,115.40408791144189,119
129,130.53528075834092,131
130,140.97105415634002,128
131,127.80630845461236,133
132,110.4817082490488,127
133,97.54333587905643,127
134,135.0,127
