,fit_data,real_data
0,775.9866654451826,1218
1,775.9205371775704,1880
2,775.6035048280971,2630
3,774.3581088492339,4369
4,775.8345561118257,5762
5,806.3150777107111,7442
6,936.6727131916355,9336
7,1329.8237514696875,11319
8,2148.0869557537408,13779
9,3557.297809251207,16402
10,5831.549489324685,19416
11,9327.877531444175,22980
12,14488.079223616818,26343
13,21836.941390536653,29018
14,32935.22929858988,31819
15,33355.72879960199,33699
16,33771.42964470923,36032
17,35607.27907503078,37693
18,39945.224786720406,38874
19,47669.50477246179,51933
20,53048.091942708,55823
21,56084.45495089808,56950
22,56346.34844864147,57493
23,55044.23068529059,58005
24,52955.642158496856,58097
25,48833.77605582092,57883
26,54103.91798036935,56812
27,53032.095888111275,55477
28,51229.923220990706,53372
29,49254.87121818408,51494
30,46230.695762252646,49910
31,43232.489479354714,47760
32,41058.065512145105,45697
33,39237.862494712725,43352
34,37881.26209748017,40011
35,36112.79366417332,37502
36,35006.348714217886,35420
37,31918.16928724003,32741
38,28812.368477063657,30096
39,26336.462367005624,27524
40,24015.895572253678,25441
41,21249.63447775117,23872
42,19474.290646569694,22263
43,18494.860435827974,20616
44,16209.558117169967,19097
45,14687.211732821297,17802
46,13890.26466165481,16226
47,12164.069029874072,14932
48,10650.140097119463,13607
49,10033.876711464349,12178
50,8849.827118026951,10822
51,7811.207216811494,9996
52,7055.86639834634,9086
53,6602.406278728325,8184
54,6188.597167711398,7438
55,5870.921347481615,6763
56,5585.327709535898,6279
57,5231.0140641429925,5849
58,4931.582163099479,5483
59,4800.287596855125,5165
60,4541.4405075757395,4768
61,4304.49614050149,4471
62,4001.5421570438693,4043
63,3825.8044187346,3790
64,3726.57317582714,3435
65,3481.378894675895,3199
66,3258.256329423644,3006
67,3088.4277330761997,2895
68,2935.9408098048634,2787
69,2746.6213317677693,2686
70,2586.2754517193416,2556
71,2516.432981760648,2537
72,2379.157105367875,2610
73,2253.643949454307,2676
74,2093.1766799004695,2760
75,2000.1413607515724,2850
76,1947.719951694377,2905
77,1818.1547721164789,2965
78,2806.638325553725,3078
79,2521.488988571809,3066
80,2329.7917515314393,3048
81,2227.443679019345,2969
82,2033.46286699289,2906
83,1870.2873294471021,1872
84,1790.633550001195,1794
85,1608.6981952951642,1734
86,1486.3877734105865,1700
87,1421.0995244438725,1630
88,1297.3896852780501,1603
89,1193.3055215657541,1513
90,1142.495037350926,1433
91,1026.446088728494,1320
92,948.4229580033823,1245
93,906.7756441834081,1140
94,827.852041847216,1040
95,758.0485258189656,997
96,725.8599709789896,945
97,694.5827190376033,897
98,643.4352943552487,840
99,577.2078129618407,811
100,510.27062294712323,741
101,456.99407240084054,635
102,431.74850941273655,559
103,448.9042820725555,498
104,288.7346427801478,448
105,227.76419945956567,372
106,205.87878977553763,299
107,187.20337996887145,274
108,147.68572713904504,241
109,134.60039675130662,220
110,124.78393596151729,199
111,115.72441893218365,181
112,107.45219979181674,166
113,100.05834092594958,157
114,93.63390472011525,148
115,88.26995355984681,147
116,84.05754983067729,145
117,81.08775591813975,140
118,79.45163420776726,139
119,79.24024708509285,137
120,80.54465693564958,134
121,83.4559261449705,134
122,88.0651170985887,131
123,94.46329218203718,125
124,102.74151378084902,116
125,112.99084428055727,111
126,125.302346066695,118
127,139.76708152479523,119
128,156.47611304039103,131
129,175.52050299901546,128
